"","uni","metric","metrix","stage","col","barefoot2025.bad20.003","pval"
"3634","L1CompL22.qNPQ.4","qNPQ","99","99","4",-13.884040335175,NA
"3635","L1CompL3.qNPQ.4","qNPQ","99","99","4",-7.51757729462207,NA
"3636","L1CompL32.qNPQ.4","qNPQ","99","99","4",-14.5462614025317,NA
"3637","L1CompR1.qNPQ.4","qNPQ","99","99","4",-26.5957489911345,NA
"3638","L1CompR12.qNPQ.4","qNPQ","99","99","4",-21.65685441965,NA
"3639","L12CompL2.qNPQ.4","qNPQ","99","99","4",-0.80575824243004,NA
"3640","L12CompL22.qNPQ.4","qNPQ","99","99","4",-1.13969155776373,NA
"3641","L12CompL3.qNPQ.4","qNPQ","99","99","4",-0.22446511965117,NA
"3642","L12CompL32.qNPQ.4","qNPQ","99","99","4",-1.23489076411416,NA
"3643","L12CompR1.qNPQ.4","qNPQ","99","99","4",-2.96709427123461,NA
"3644","L12CompR12.qNPQ.4","qNPQ","99","99","4",-2.25709142380102,NA
"3645","L2CompL3.qNPQ.4","qNPQ","99","99","4",0.32191082345365,NA
"3646","L2CompL32.qNPQ.4","qNPQ","99","99","4",-0.237646719035119,NA
"3647","L2CompR1.qNPQ.4","qNPQ","99","99","4",-1.19691328441399,NA
"3648","L2CompR12.qNPQ.4","qNPQ","99","99","4",-0.803725076407734,NA
"3649","L22CompL3.qNPQ.4","qNPQ","99","99","4",0.427737556280821,NA
"3650","L22CompL32.qNPQ.4","qNPQ","99","99","4",-0.0444920231633412,NA
"3651","L22CompR1.qNPQ.4","qNPQ","99","99","4",-0.854049597401206,NA
"3652","L22CompR12.qNPQ.4","qNPQ","99","99","4",-0.522224739347536,NA
"3653","L3CompR1.qNPQ.4","qNPQ","99","99","4",-2.23985894540203,NA
"3654","L3CompR12.qNPQ.4","qNPQ","99","99","4",-1.66001160141574,NA
"3655","L32CompR1.qNPQ.4","qNPQ","99","99","4",-0.77507300801211,NA
"3656","L32CompR12.qNPQ.4","qNPQ","99","99","4",-0.457382828771958,NA
"3657","DCompL1.qqP.4","qqP","99","99","4",0.827517969715276,NA
"3658","DCompL12.qqP.4","qqP","99","99","4",0.471889675507725,NA
