"","uni","metric","metrix","stage","col","ASnormalized.t3_aabr2.002r","pval"
"279","Fm.21.0","Fm","13","21","1",2403.86213662976,1.32844554364584e-97
"280","Fo.21.0","Fo","14","21","1",2273.51725967168,1.44176564465241e-80
"281","Quant.22.0","Quant","1","22","1",0.0558602974849366,1.78042258605144e-82
"282","Sigma.22.0","Sigma","2","22","1",3.51327326482204,2.71084110625344e-32
"283","Connect.22.0","Connect","3","22","1",0.271383560521135,1.5149063602311e-06
"284","Tau1.22.0","Tau1","4","22","1",1093.06386578149,1.67441851940186e-14
"285","Tau2.22.0","Tau2","5","22","1",7742058.73989456,3.01157180915764e-06
"286","NPQ.22.0","NPQ","6","22","1",0.46785306929444,1.55371113702038e-99
"287","qP.22.0","qP","7","22","1",0.707859564466855,3.56084517210288e-82
"288","ABQ.22.0","ABQ","8","22","1",0.150775156933519,2.71084110625344e-32
"289","qm.22.0","qm","9","22","1",0.852594486084196,1.78042258605144e-82
"290","nTau1.22.0","nTau1","10","22","1",1.82326557609105,1.67441851940186e-14
"291","nTau2.22.0","nTau2","11","22","1",7.69451221540793,3.01157180915764e-06
"292","nCon.22.0","nCon","12","22","1",0.836652857967873,1.5149063602311e-06
"293","Fm.22.0","Fm","13","22","1",2365.7524935331,1.55371113702038e-99
"294","Fo.22.0","Fo","14","22","1",2233.60085546861,3.56084517210288e-82
"295","Quant.23.0","Quant","1","23","1",0.208791305498932,1.49158556975611e-70
"296","Sigma.23.0","Sigma","2","23","1",4.55597613032481,5.56282499634973e-46
"297","Connect.23.0","Connect","3","23","1",0.225290945122247,1.1530915335745e-11
"298","Tau1.23.0","Tau1","4","23","1",1066.70391580952,4.44346453252784e-17
"299","Tau2.23.0","Tau2","5","23","1",1625762.66258607,6.96015058882194e-14
"300","NPQ.23.0","NPQ","6","23","1",0.595303612737311,9.90961621901003e-94
"301","qP.23.0","qP","7","23","1",1,2.98317113951222e-70
"302","ABQ.23.0","ABQ","8","23","1",-0.101265920026774,5.56282499634973e-46
"303","qm.23.0","qm","9","23","1",0.449036416311225,1.49158556975611e-70
"304","nTau1.23.0","nTau1","10","23","1",1.77929633433314,4.44346453252784e-17
"305","nTau2.23.0","nTau2","11","23","1",1.61577832032736,6.96015058882194e-14
"306","nCon.23.0","nCon","12","23","1",0.694553173187261,1.1530915335745e-11
"307","Fm.23.0","Fm","13","23","1",2176.74994972593,9.90961621901003e-94
"308","Fo.23.0","Fo","14","23","1",1722.26348597791,2.98317113951222e-70
"309","Quant.24.0","Quant","1","24","1",0.214970709557619,8.26912891976479e-71
"310","Sigma.24.0","Sigma","2","24","1",4.61131566612654,1.26015845411973e-47
"311","Connect.24.0","Connect","3","24","1",0.282081425003327,6.90035551292913e-16
"312","Tau1.24.0","Tau1","4","24","1",879.223175981928,2.04824140790961e-19
"313","Tau2.24.0","Tau2","5","24","1",1483577.28184596,2.87987347104929e-16
"314","NPQ.24.0","NPQ","6","24","1",0.529798462105256,1.5112288636585e-93
"315","qP.24.0","qP","7","24","1",0.96588073249252,1.65382578395296e-70
"316","ABQ.24.0","ABQ","8","24","1",-0.114642536379723,1.26015845411973e-47
"317","qm.24.0","qm","9","24","1",0.432730054333655,8.26912891976479e-71
"318","nTau1.24.0","nTau1","10","24","1",1.46657244892381,2.04824140790961e-19
"319","nTau2.24.0","nTau2","11","24","1",1.47446614669071,2.87987347104929e-16
"320","nCon.24.0","nCon","12","24","1",0.869633480950312,6.90035551292913e-16
"321","Fm.24.0","Fm","13","24","1",2269.95721648503,1.5112288636585e-93
"322","Fo.24.0","Fo","14","24","1",1781.98290299181,1.65382578395296e-70
"323","Quant.25.0","Quant","1","25","1",0.223817998886611,3.59271647260098e-70
"324","Sigma.25.0","Sigma","2","25","1",4.73254286165939,2.33617419571248e-47
"325","Connect.25.0","Connect","3","25","1",0.226580014351071,1.83863622160016e-12
"326","Tau1.25.0","Tau1","4","25","1",951.507989896925,8.30682800331837e-20
"327","Tau2.25.0","Tau2","5","25","1",1512864.36482956,2.14049694745766e-15
"328","NPQ.25.0","NPQ","6","25","1",0.500305393644114,6.20990632503254e-94
"329","qP.25.0","qP","7","25","1",0.957566486830399,7.18543294520196e-70
"330","ABQ.25.0","ABQ","8","25","1",-0.143945450881875,2.33617419571248e-47
"331","qm.25.0","qm","9","25","1",0.409383611707682,3.59271647260098e-70
"332","nTau1.25.0","nTau1","10","25","1",1.58714583627216,8.30682800331837e-20
"333","nTau2.25.0","nTau2","11","25","1",1.50357336808258,2.14049694745766e-15
"334","nCon.25.0","nCon","12","25","1",0.698527265989135,1.83863622160016e-12
"335","Fm.25.0","Fm","13","25","1",2314.58013384124,6.20990632503254e-94
