"","uni","metric","metrix","stage","col","ASnormalized.t5_aabr1.002r","pval"
"289","qm.22.0","qm","9","22","1",0.865769012224292,6.17258750994647e-83
"290","nTau1.22.0","nTau1","10","22","1",2.1932004985537,2.0194780523477e-13
"291","nTau2.22.0","nTau2","11","22","1",8.89681351995908,5.84346871252434e-05
"292","nCon.22.0","nCon","12","22","1",1.12883013291135,5.83677270534305e-09
"293","Fm.22.0","Fm","13","22","1",2376.58165636925,1.77829986232976e-98
"294","Fo.22.0","Fo","14","22","1",2255.01141855831,1.23451750198929e-82
"295","Quant.23.0","Quant","1","23","1",0.205348398930869,4.95140339666091e-68
"296","Sigma.23.0","Sigma","2","23","1",4.80416644407938,2.05480810230893e-43
"297","Connect.23.0","Connect","3","23","1",0.217585363649303,2.10825777901661e-09
"298","Tau1.23.0","Tau1","4","23","1",1200.53700242636,6.64522272375269e-18
"299","Tau2.23.0","Tau2","5","23","1",1545966.93798031,1.2977780562381e-14
"300","NPQ.23.0","NPQ","6","23","1",0.481788583361763,7.73144203942061e-92
"301","qP.23.0","qP","7","23","1",1,9.90280679332183e-68
"302","ABQ.23.0","ABQ","8","23","1",-0.161401305142962,2.05480810230893e-43
"303","qm.23.0","qm","9","23","1",0.461147897656983,4.95140339666091e-68
"304","nTau1.23.0","nTau1","10","23","1",1.99510659975846,6.64522272375269e-18
"305","nTau2.23.0","nTau2","11","23","1",1.49911407137567,1.2977780562381e-14
"306","nCon.23.0","nCon","12","23","1",0.67595940798693,2.10825777901661e-09
"307","Fm.23.0","Fm","13","23","1",2190.19614774997,7.73144203942061e-92
"308","Fo.23.0","Fo","14","23","1",1740.44287546496,9.90280679332183e-68
"309","Quant.24.0","Quant","1","24","1",0.215453315594356,1.91191642531537e-70
"310","Sigma.24.0","Sigma","2","24","1",4.99374685262158,1.75721720524348e-47
"311","Connect.24.0","Connect","3","24","1",0.262391106372859,2.92732697684099e-14
"312","Tau1.24.0","Tau1","4","24","1",1021.32907801565,7.25315206196075e-20
"313","Tau2.24.0","Tau2","5","24","1",1446529.47450823,2.16187408886617e-16
"314","NPQ.24.0","NPQ","6","24","1",0.424393758526897,4.65154491056803e-94
"315","qP.24.0","qP","7","24","1",0.968699437327314,3.82383285063074e-70
"316","ABQ.24.0","ABQ","8","24","1",-0.207232134793296,1.75721720524348e-47
"317","qm.24.0","qm","9","24","1",0.434631715322619,1.91191642531537e-70
"318","nTau1.24.0","nTau1","10","24","1",1.6972907790064,7.25315206196075e-20
"319","nTau2.24.0","nTau2","11","24","1",1.40269021065091,2.16187408886617e-16
"320","nCon.24.0","nCon","12","24","1",0.815154723415613,2.92732697684099e-14
"321","Fm.24.0","Fm","13","24","1",2278.44837681345,4.65154491056803e-94
"322","Fo.24.0","Fo","14","24","1",1787.54911961842,3.82383285063074e-70
"323","Quant.25.0","Quant","1","25","1",0.222149424716971,5.50971114882319e-69
"324","Sigma.25.0","Sigma","2","25","1",5.12671048589681,2.04402902471357e-46
"325","Connect.25.0","Connect","3","25","1",0.208238940855366,3.23968318022227e-10
"326","Tau1.25.0","Tau1","4","25","1",1110.59621050958,2.79574840788194e-21
"327","Tau2.25.0","Tau2","5","25","1",1558169.55566397,9.63116106368288e-16
"328","NPQ.25.0","NPQ","6","25","1",0.402844616586159,2.0682422884384e-93
"329","qP.25.0","qP","7","25","1",0.960747422524719,1.10194222976464e-68
"330","ABQ.25.0","ABQ","8","25","1",-0.239375928939461,2.04402902471357e-46
"331","qm.25.0","qm","9","25","1",0.417060541176508,5.50971114882319e-69
"332","nTau1.25.0","nTau1","10","25","1",1.84563893055875,2.79574840788194e-21
"333","nTau2.25.0","nTau2","11","25","1",1.51094687027181,9.63116106368288e-16
"334","nCon.25.0","nCon","12","25","1",0.646923436483037,3.23968318022227e-10
"335","Fm.25.0","Fm","13","25","1",2313.44769669257,2.0682422884384e-93
"336","Fo.25.0","Fo","14","25","1",1799.51662175952,1.10194222976464e-68
"337","Quant.26.0","Quant","1","26","1",0.224209829429879,1.6343143726572e-66
"338","Sigma.26.0","Sigma","2","26","1",5.18867400923769,6.49509809740286e-45
"339","Connect.26.0","Connect","3","26","1",0.271678430569848,8.17151431669518e-13
