"","uni","metric","metrix","stage","col","ASnormalized.ahya5.002r","pval"
"299","Tau2.23.0","Tau2","5","23","1",1563397.82842793,1.79300384138834e-14
"300","NPQ.23.0","NPQ","6","23","1",0.504347058775287,6.39822283217955e-95
"301","qP.23.0","qP","7","23","1",1,8.28082123889561e-71
"302","ABQ.23.0","ABQ","8","23","1",-0.185574724526399,7.68010705218192e-46
"303","qm.23.0","qm","9","23","1",0.498428305107136,4.14041061944781e-71
"304","nTau1.23.0","nTau1","10","23","1",2.08796697635095,1.22630574541404e-17
"305","nTau2.23.0","nTau2","11","23","1",1.80462126457701,1.79300384138834e-14
"306","nCon.23.0","nCon","12","23","1",0.707815106798038,8.37809403625844e-12
"307","Fm.23.0","Fm","13","23","1",2274.22163489072,6.39822283217955e-95
"308","Fo.23.0","Fo","14","23","1",1832.82934521013,8.28082123889561e-71
"309","Quant.24.0","Quant","1","24","1",0.200454164907572,8.53286314347326e-71
"310","Sigma.24.0","Sigma","2","24","1",5.41005966384756,1.21771556595455e-46
"311","Connect.24.0","Connect","3","24","1",0.276649885972315,1.60613588745817e-14
"312","Tau1.24.0","Tau1","4","24","1",1614.34110192802,2.66654736642324e-19
"313","Tau2.24.0","Tau2","5","24","1",1675095.88417562,1.02929045867548e-13
"314","NPQ.24.0","NPQ","6","24","1",0.472535694788936,3.60755847903372e-95
"315","qP.24.0","qP","7","24","1",0.984388586139786,1.70657262869465e-70
"316","ABQ.24.0","ABQ","8","24","1",-0.260544081416388,1.21771556595455e-46
"317","qm.24.0","qm","9","24","1",0.481968524305866,8.53286314347326e-71
"318","nTau1.24.0","nTau1","10","24","1",1.99965078062758,2.66654736642324e-19
"319","nTau2.24.0","nTau2","11","24","1",1.93355369811945,1.02929045867548e-13
"320","nCon.24.0","nCon","12","24","1",0.824298286441295,1.60613588745817e-14
"321","Fm.24.0","Fm","13","24","1",2323.35191571798,3.60755847903372e-95
"322","Fo.24.0","Fo","14","24","1",1857.62634766632,1.70657262869465e-70
"323","Quant.25.0","Quant","1","25","1",0.204397247247247,5.62548981776288e-70
"324","Sigma.25.0","Sigma","2","25","1",5.45443036925026,4.57034025398013e-46
"325","Connect.25.0","Connect","3","25","1",0.245795328287261,3.56148175175955e-12
"326","Tau1.25.0","Tau1","4","25","1",1705.90245587797,5.04250130771985e-18
"327","Tau2.25.0","Tau2","5","25","1",1547782.36005416,2.68811473631724e-13
"328","NPQ.25.0","NPQ","6","25","1",0.445712773005635,1.30167310028395e-94
"329","qP.25.0","qP","7","25","1",0.968564889613323,1.12509796355258e-69
"330","ABQ.25.0","ABQ","8","25","1",-0.270882457249359,4.57034025398013e-46
"331","qm.25.0","qm","9","25","1",0.471778460337142,5.62548981776288e-70
"332","nTau1.25.0","nTau1","10","25","1",2.11306592732902,5.04250130771985e-18
"333","nTau2.25.0","nTau2","11","25","1",1.78659641781617,2.68811473631724e-13
"334","nCon.25.0","nCon","12","25","1",0.732364906677534,3.56148175175955e-12
"335","Fm.25.0","Fm","13","25","1",2366.45804846717,1.30167310028395e-94
"336","Fo.25.0","Fo","14","25","1",1882.76053763439,1.12509796355258e-69
"337","Quant.26.0","Quant","1","26","1",0.210056329564845,1.05687474747927e-65
"338","Sigma.26.0","Sigma","2","26","1",5.44057877438508,1.28477875681849e-42
"339","Connect.26.0","Connect","3","26","1",0.227603861557761,5.99939018956566e-09
"340","Tau1.26.0","Tau1","4","26","1",1907.71071133979,2.02713040707602e-18
