"","uni","metric","metrix","stage","col","barefoot2025.bpv19.002","pval"
"127","Quant.11.0","Quant","1","11","1",0.267860044039237,2.21611157640527e-68
"128","Sigma.11.0","Sigma","2","11","1",5.14585916895046,2.87908263360771e-49
"129","Connect.11.0","Connect","3","11","1",0.212052092430342,6.12362013614352e-13
"130","Tau1.11.0","Tau1","4","11","1",908.994993153658,8.68576233880998e-17
"131","Tau2.11.0","Tau2","5","11","1",844903.751726975,2.39122865865747e-16
"132","NPQ.11.0","NPQ","6","11","1",0.751872445318776,1.42368015736793e-92
"133","qP.11.0","qP","7","11","1",0.826925970526248,4.43222315281053e-68
"134","ABQ.11.0","ABQ","8","11","1",0.154248409392654,2.87908263360771e-49
"135","qm.11.0","qm","9","11","1",0.354683723673563,2.21611157640527e-68
"136","nTau1.11.0","nTau1","10","11","1",1.63729895426469,8.68576233880998e-17
"137","nTau2.11.0","nTau2","11","11","1",1.39492456699901,2.39122865865747e-16
"138","nCon.11.0","nCon","12","11","1",0.795354065350322,6.12362013614352e-13
"139","Fm.11.0","Fm","13","11","1",2201.46299078264,1.42368015736793e-92
"140","Fo.11.0","Fo","14","11","1",1611.77901712086,4.43222315281053e-68
"141","Quant.12.0","Quant","1","12","1",0.275094995768071,7.49157169334824e-69
"142","Sigma.12.0","Sigma","2","12","1",5.11619065112826,2.33578027075691e-50
"143","Connect.12.0","Connect","3","12","1",0.203387040731417,4.68152704233402e-13
"144","Tau1.12.0","Tau1","4","12","1",907.282471422573,5.84156771726461e-17
