"","uni","metric","metrix","stage","col","cclong2025.nah11.002","pval"
"1035","Fm.23.2","Fm","13","23","3",1334.63982148811,1.32387966838464e-103
"1036","Fo.23.2","Fo","14","23","3",965.264410215729,1.35618373829372e-78
"1037","Quant.24.2","Quant","1","24","3",0.293902320914013,9.66712950315531e-78
"1038","Sigma.24.2","Sigma","2","24","3",3.32323774600377,3.31193317030166e-57
"1039","Connect.24.2","Connect","3","24","3",0.25363892675919,3.99364132751716e-19
"1040","Tau1.24.2","Tau1","4","24","3",1090.22822235673,1.01824884867235e-17
"1041","Tau2.24.2","Tau2","5","24","3",1141661.72439032,2.01958499440382e-11
"1042","NPQ.24.2","NPQ","6","24","3",1.29090108165327,1.00598661209452e-103
"1043","qP.24.2","qP","7","24","3",0.988372250749956,1.93342590063106e-77
"1044","ABQ.24.2","ABQ","8","24","3",0.200408780354037,3.31193317030166e-57
"1045","qm.24.2","qm","9","24","3",0.118820960448762,9.66712950315531e-78
"1046","nTau1.24.2","nTau1","10","24","3",1.73188815369788,1.01824884867235e-17
"1047","nTau2.24.2","nTau2","11","24","3",0.747093529717419,2.01958499440382e-11
"1048","nCon.24.2","nCon","12","24","3",0.887811897142092,3.99364132751716e-19
"1049","Fm.24.2","Fm","13","24","3",1404.11656471058,1.00598661209452e-103
"1050","Fo.24.2","Fo","14","24","3",991.443447508333,1.93342590063106e-77
"1051","Quant.25.2","Quant","1","25","3",0.3082734306619,5.52984260592551e-79
"1052","Sigma.25.2","Sigma","2","25","3",3.4604087753485,5.36525209871522e-60
"1053","Connect.25.2","Connect","3","25","3",0.236816358153275,4.86828311757974e-20
"1054","Tau1.25.2","Tau1","4","25","3",982.790587417296,1.11700518943218e-18
"1055","Tau2.25.2","Tau2","5","25","3",953117.392873518,9.29107088393915e-14
"1056","NPQ.25.2","NPQ","6","25","3",1.18609555319439,3.46062237320036e-106
"1057","qP.25.2","qP","7","25","3",0.976652779343282,1.1059685211851e-78
"1058","ABQ.25.2","ABQ","8","25","3",0.167404596170785,5.36525209871522e-60
"1059","qm.25.2","qm","9","25","3",0.0757334453670648,5.52984260592551e-79
"1060","nTau1.25.2","nTau1","10","25","3",1.56121749649301,1.11700518943218e-18
"1061","nTau2.25.2","nTau2","11","25","3",0.623711754598068,9.29107088393915e-14
"1062","nCon.25.2","nCon","12","25","3",0.828927889313908,4.86828311757974e-20
"1063","Fm.25.2","Fm","13","25","3",1471.43255113548,3.46062237320036e-106
"1064","Fo.25.2","Fo","14","25","3",1017.82899060935,1.1059685211851e-78
"1065","Quant.26.2","Quant","1","26","3",0.314652791348589,7.40308262064885e-75
"1066","Sigma.26.2","Sigma","2","26","3",3.45095301836928,7.613889765592e-57
"1067","Connect.26.2","Connect","3","26","3",0.272744844601407,3.89136657532672e-20
"1068","Tau1.26.2","Tau1","4","26","3",1007.59844265336,1.07716724523084e-18
"1069","Tau2.26.2","Tau2","5","26","3",996969.876542815,5.70517550841021e-12
"1070","NPQ.26.2","NPQ","6","26","3",1.09377065845431,4.61511646884282e-102
"1071","qP.26.2","qP","7","26","3",0.961071334690416,1.48061652412977e-74
"1072","ABQ.26.2","ABQ","8","26","3",0.169679708827044,7.613889765592e-57
"1073","qm.26.2","qm","9","26","3",0.0566068222585256,7.40308262064885e-75
"1074","nTau1.26.2","nTau1","10","26","3",1.60062615398411,1.07716724523084e-18
"1075","nTau2.26.2","nTau2","11","26","3",0.652408439536741,5.70517550841021e-12
"1076","nCon.26.2","nCon","12","26","3",0.954688308357331,3.89136657532672e-20
"1077","Fm.26.2","Fm","13","26","3",1536.31542398125,4.61511646884282e-102
"1078","Fo.26.2","Fo","14","26","3",1052.90948743366,1.48061652412977e-74
"1079","Quant.27.2","Quant","1","27","3",0.325724169388521,1.3395927223774e-78
"1080","Sigma.27.2","Sigma","2","27","3",3.48673510947169,4.38220162730887e-62
"1081","Connect.27.2","Connect","3","27","3",0.285851303623777,2.08435953496892e-25
"1082","Tau1.27.2","Tau1","4","27","3",992.465170106804,2.56683620079621e-19
"1083","Tau2.27.2","Tau2","5","27","3",988283.822176675,1.32877135543923e-11
"1084","NPQ.27.2","NPQ","6","27","3",1.01279442492553,4.98523843703772e-106
"1085","qP.27.2","qP","7","27","3",0.950115654806224,2.67918544475481e-78
"1086","ABQ.27.2","ABQ","8","27","3",0.161070320016248,4.38220162730887e-62
"1087","qm.27.2","qm","9","27","3",0.0234125751447345,1.3395927223774e-78
"1088","nTau1.27.2","nTau1","10","27","3",1.57658610905351,2.56683620079621e-19
"1089","nTau2.27.2","nTau2","11","27","3",0.646724360901992,1.32877135543923e-11
"1090","nCon.27.2","nCon","12","27","3",1.00056482423028,2.08435953496892e-25
"1091","Fm.27.2","Fm","13","27","3",1598.12254894424,4.98523843703772e-106
"1092","Fo.27.2","Fo","14","27","3",1077.57540910831,2.67918544475481e-78
"1093","Quant.1.3","Quant","1","1","4",0.321651255775131,2.316988724523e-84
"1094","Sigma.1.3","Sigma","2","1","4",3.55393980646321,6.56510286392958e-67
"1095","Connect.1.3","Connect","3","1","4",0.317640125730266,2.92327634890762e-32
