Project,Country,Date,Site_number,SITE,Latitude,Longitude,Species,Genotype,Condition,Tank_color,Temperature,Pam_value,Timepoint,SampleID_clean,MINIMUM_DEPTH_FEET,MAXIMUM_DEPTH_FEET,MINIMUM_DEPTH_METERS,MAXIMUM_DEPTH_METERS,Bag_number
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,4,wild,4-yellow,29,0.565,420,1_ICRA_4,30,41,9.144,12.4968,29
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,4,wild,5-orange,35,0.575,420,1_ICRA_4,30,41,9.144,12.4968,29
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,4,wild,6-brown,38,0.435,420,1_ICRA_4,30,41,9.144,12.4968,29
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,4,wild,7-grey,36,0.532,420,1_ICRA_4,30,41,9.144,12.4968,29
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,5,wild,1-green,39,0.146,420,1_ICRA_5,30,41,9.144,12.4968,11
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,5,wild,2-blue,34,0.627,420,1_ICRA_5,30,41,9.144,12.4968,11
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,5,wild,3-red,37,0.527,420,1_ICRA_5,30,41,9.144,12.4968,11
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,5,wild,4-yellow,29,0.637,420,1_ICRA_5,30,41,9.144,12.4968,11
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,5,wild,5-orange,35,0.646,420,1_ICRA_5,30,41,9.144,12.4968,11
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,5,wild,6-brown,38,0.544,420,1_ICRA_5,30,41,9.144,12.4968,11
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,5,wild,7-grey,36,0.605,420,1_ICRA_5,30,41,9.144,12.4968,11
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,6,wild,1-green,39,0.031,420,1_ICRA_6,30,41,9.144,12.4968,13
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,6,wild,2-blue,34,0.591,420,1_ICRA_6,30,41,9.144,12.4968,13
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,6,wild,3-red,37,0.453,420,1_ICRA_6,30,41,9.144,12.4968,13
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,6,wild,4-yellow,29,0.569,420,1_ICRA_6,30,41,9.144,12.4968,13
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,6,wild,5-orange,35,0.579,420,1_ICRA_6,30,41,9.144,12.4968,13
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,6,wild,6-brown,38,0.47,420,1_ICRA_6,30,41,9.144,12.4968,13
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,6,wild,7-grey,36,0.587,420,1_ICRA_6,30,41,9.144,12.4968,13
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,7,wild,1-green,39,0.008,420,1_ICRA_7,30,41,9.144,12.4968,27
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,7,wild,2-blue,34,0.596,420,1_ICRA_7,30,41,9.144,12.4968,27
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,7,wild,3-red,37,0.412,420,1_ICRA_7,30,41,9.144,12.4968,27
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,7,wild,4-yellow,29,0.588,420,1_ICRA_7,30,41,9.144,12.4968,27
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,7,wild,5-orange,35,0.614,420,1_ICRA_7,30,41,9.144,12.4968,27
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,7,wild,6-brown,38,0.342,420,1_ICRA_7,30,41,9.144,12.4968,27
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,7,wild,7-grey,36,0.568,420,1_ICRA_7,30,41,9.144,12.4968,27
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,8,wild,1-green,39,0.083,420,1_ICRA_8,30,41,9.144,12.4968,25
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,8,wild,2-blue,34,0.607,420,1_ICRA_8,30,41,9.144,12.4968,25
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,8,wild,3-red,37,0.394,420,1_ICRA_8,30,41,9.144,12.4968,25
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,8,wild,4-yellow,29,0.606,420,1_ICRA_8,30,41,9.144,12.4968,25
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,8,wild,5-orange,35,0.611,420,1_ICRA_8,30,41,9.144,12.4968,25
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,8,wild,6-brown,38,0.425,420,1_ICRA_8,30,41,9.144,12.4968,25
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,8,wild,7-grey,36,0.57,420,1_ICRA_8,30,41,9.144,12.4968,25
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,AGLO,1,wild,1-green,35,0.627,420,3_AGLO_1,31,40,9.4488,12.192,15
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,AGLO,2,wild,1-green,35,0.632,420,3_AGLO_2,31,40,9.4488,12.192,14
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,AGLO,3,wild,1-green,35,0.624,420,3_AGLO_3,31,40,9.4488,12.192,38
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,AGLO,4,wild,1-green,35,0.607,420,3_AGLO_4,31,40,9.4488,12.192,40
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,AGLO,5,wild,1-green,35,0.626,420,3_AGLO_5,31,40,9.4488,12.192,36
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,AGLO,6,wild,1-green,35,0.585,420,3_AGLO_6,31,40,9.4488,12.192,16
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,AGLO,7,wild,1-green,35,0.59,420,3_AGLO_7,31,40,9.4488,12.192,12
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,AGLO,8,wild,1-green,35,0.599,420,3_AGLO_8,31,40,9.4488,12.192,39
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,ICRA,1,wild,1-green,35,0.574,420,3_ICRA_1,31,40,9.4488,12.192,33
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,ICRA,2,wild,1-green,35,0.57,420,3_ICRA_2,31,40,9.4488,12.192,61
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,ICRA,3,wild,1-green,35,0.574,420,3_ICRA_3,31,40,9.4488,12.192,35
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,ICRA,4,wild,1-green,35,0.594,420,3_ICRA_4,31,40,9.4488,12.192,34
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,ICRA,5,wild,1-green,35,0.593,420,3_ICRA_5,31,40,9.4488,12.192,63
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,ICRA,6,wild,1-green,35,0.58,420,3_ICRA_6,31,40,9.4488,12.192,64
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,ICRA,7,wild,1-green,35,0.585,420,3_ICRA_7,31,40,9.4488,12.192,62
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,ICRA,8,wild,1-green,35,0.587,420,3_ICRA_8,31,40,9.4488,12.192,66
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,AHYA,1,wild,1-green,35,0.633,420,3_AHYA_1,31,40,9.4488,12.192,32
ESA,TUT,20260219,3,ESA_TUT_3,-14.3292,-170.83196,AHYA,2,wild,1-green,35,0.657,420,3_AHYA_2,31,40,9.4488,12.192,29
