"","uni","metric","metrix","stage","col","ASnormalized.t9_ahya3.002r","pval"
"586","nCon.17.1","nCon","12","17","2",1.17013641493485,0.000000102343436811603
"587","Fm.17.1","Fm","13","17","2",2679.33298097369,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000552910335015198
"588","Fo.17.1","Fo","14","17","2",2575.84573877923,0.000000000000000000000000000000000000000000000000000000000000000000000000000000566032414950337
"589","Quant.18.1","Quant","1","18","2",0.0397136786690976,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000425229187797505
"590","Sigma.18.1","Sigma","2","18","2",2.98499127389362,0.000000000000000000000000120805182695101
"591","Connect.18.1","Connect","3","18","2",0.356415724673002,0.00000118672180627833
"592","Tau1.18.1","Tau1","4","18","2",1273.3603958025,0.00000000000000251816719295841
"593","Tau2.18.1","Tau2","5","18","2",17854576.9162767,0.000884541518987103
"594","NPQ.18.1","NPQ","6","18","2",0.358895463970623,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000488598099412761
"595","qP.18.1","qP","7","18","2",0.624412022567834,0.000000000000000000000000000000000000000000000000000000000000000000000000000000085045837559501
"596","ABQ.18.1","ABQ","8","18","2",0.323371435996697,0.000000000000000000000000120805182695101
"597","qm.18.1","qm","9","18","2",0.879226018459583,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000425229187797505
"598","nTau1.18.1","nTau1","10","18","2",1.80671970291569,0.00000000000000251816719295841
"599","nTau2.18.1","nTau2","11","18","2",16.2716714046262,0.000884541518987103
"600","nCon.18.1","nCon","12","18","2",1.08057318927907,0.00000118672180627833
"601","Fm.18.1","Fm","13","18","2",2606.07834311841,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000488598099412761
"602","Fo.18.1","Fo","14","18","2",2502.58138521331,0.000000000000000000000000000000000000000000000000000000000000000000000000000000085045837559501
"603","Quant.19.1","Quant","1","19","2",0.0441032489154726,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000793713812451207
"604","Sigma.19.1","Sigma","2","19","2",3.00903738032676,0.00000000000000000000000000000939332947001995
"605","Connect.19.1","Connect","3","19","2",0.47068980001726,0.000000000000222334284469146
"606","Tau1.19.1","Tau1","4","19","2",1180.78937865012,0.00000000000256101105223532
"607","Tau2.19.1","Tau2","5","19","2",10032871.0764785,0.0000255807703891931
"608","NPQ.19.1","NPQ","6","19","2",0.393507267893554,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000543690163430649
"609","qP.19.1","qP","7","19","2",0.668480221575904,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000158742762490241
"610","ABQ.19.1","ABQ","8","19","2",0.317920739169531,0.00000000000000000000000000000939332947001995
"611","qm.19.1","qm","9","19","2",0.86587681753757,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000793713812451207
"612","nTau1.19.1","nTau1","10","19","2",1.67537442065352,0.00000000000256101105223532
"613","nTau2.19.1","nTau2","11","19","2",9.14340239855321,0.0000255807703891931
"614","nCon.19.1","nCon","12","19","2",1.4270267644123,0.000000000000222334284469146
"615","Fm.19.1","Fm","13","19","2",2541.34881159888,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000543690163430649
"616","Fo.19.1","Fo","14","19","2",2429.2670723799,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000158742762490241
"617","Quant.20.1","Quant","1","20","2",0.0453143599896009,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000776702533525996
"618","Sigma.20.1","Sigma","2","20","2",2.86199727063497,0.00000000000000000000000000000563195499413905
"619","Connect.20.1","Connect","3","20","2",0.413710709413588,0.000000000172742465623014
"620","Tau1.20.1","Tau1","4","20","2",1370.34756048238,0.00000000000934636808382854
"621","Tau2.20.1","Tau2","5","20","2",8210883.12140351,0.00000691519476833825
"622","NPQ.20.1","NPQ","6","20","2",0.427704123154581,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000242612455904414
"623","qP.20.1","qP","7","20","2",0.705261127564866,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000155340506705199
"624","ABQ.20.1","ABQ","8","20","2",0.351251335188951,0.00000000000000000000000000000563195499413905
"625","qm.20.1","qm","9","20","2",0.862193685895978,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000776702533525996
"626","nTau1.20.1","nTau1","10","20","2",1.94433087877344,0.00000000000934636808382854
"627","nTau2.20.1","nTau2","11","20","2",7.48294360150712,0.00000691519476833825
